OBJECTID,LATITUDE,LONGITUDE,FIRE_YEAR,STAT_CAUSE_DESCR,STATE,FIRE_NAME,FIRE_SIZE,FIRE_SIZE_CLASS
6850,37.44166667,-119.08,2002,Lightning,CA,ARCH,0.1,A
46353,38.69833333,-119.7316667,1992,Miscellaneous,CA,,0.1,A
46354,38.685,-119.9333333,1992,Debris Burning,CA,,1,B
46355,38.715,-119.79,1992,Arson,CA,,0.1,A
46356,39.52666667,-120,1992,Equipment Use,CA,,0.1,A
46357,38.79166667,-119.7883333,1992,Miscellaneous,CA,,0.1,A
46358,38.63333333,-119.73,1992,Campfire,CA,,0.1,A
46359,38.61666667,-119.8016667,1992,Lightning,CA,,0.1,A
46360,38.6,-119.855,1992,Lightning,CA,,0.1,A
46361,38.47,-119.5766667,1992,Lightning,CA,,0.2,A
46362,38.53666667,-119.61,1992,Lightning,CA,,0.4,B
46363,38.51166667,-119.585,1992,Lightning,CA,,0.1,A
46366,38.64166667,-119.7283333,1992,Lightning,CA,,0.1,A
46367,39.235,-119.8166667,1992,Lightning,CA,,0.1,A
46368,38.58666667,-119.665,1992,Lightning,CA,,2,B
46369,38.81,-119.8633333,1992,Lightning,CA,,0.1,A
46370,38.75833333,-119.8833333,1992,Lightning,CA,,0.1,A
46371,38.78166667,-119.86,1992,Lightning,CA,,0.1,A
46372,38.71166667,-119.855,1992,Lightning,CA,,0.1,A
46373,38.71166667,-119.875,1992,Lightning,CA,,0.1,A
46374,38.66666667,-119.8333333,1992,Lightning,CA,,0.1,A
46375,39.48333333,-120.1316667,1992,Lightning,CA,,0.1,A
46376,39.44166667,-120.0333333,1992,Miscellaneous,CA,,12,C
46379,38.63333333,-119.8,1992,Lightning,CA,,0.1,A
46383,39.31666667,-119.9633333,1992,Lightning,CA,,0.1,A
46384,39.68333333,-120.1166667,1992,Lightning,CA,,0.3,B
46386,38.62833333,-119.8066667,1992,Arson,CA,,0.1,A
46387,38.625,-119.73,1992,Arson,CA,,0.1,A
46388,39.55333333,-120.0333333,1992,Lightning,CA,,0.1,A
46389,39.555,-120.08,1992,Lightning,CA,,0.2,A
46390,38.74,-119.6833333,1992,Lightning,CA,,0.5,B
46391,38.895,-119.8583333,1992,Campfire,CA,,0.1,A
46392,38.54666667,-119.6583333,1992,Lightning,CA,,0.1,A
46393,38.61166667,-119.6616667,1992,Lightning,CA,,0.1,A
46394,38.59166667,-119.6316667,1992,Lightning,CA,,0.1,A
46395,38.73666667,-119.6083333,1992,Lightning,CA,,0.1,A
46396,38.71333333,-119.5966667,1992,Lightning,CA,,0.5,B
46397,38.67333333,-119.7333333,1992,Lightning,CA,,0.1,A
46398,38.52166667,-119.6016667,1992,Lightning,CA,,0.1,A
46399,38.61833333,-119.835,1992,Lightning,CA,,1.5,B
46400,38.655,-119.6383333,1992,Lightning,CA,,0.1,A
46401,38.79166667,-119.9266667,1992,Lightning,CA,,0.1,A
46402,39.74666667,-120.095,1992,Lightning,CA,,150,D
46404,38.46666667,-119.6033333,1992,Lightning,CA,,0.1,A
46405,39.52666667,-120.055,1992,Lightning,CA,,0.1,A
46407,38.70166667,-119.6683333,1992,Lightning,CA,,0.1,A
46408,39.54166667,-120.0633333,1992,Campfire,CA,,0.1,A
46409,38.78333333,-119.8666667,1992,Lightning,CA,,5,B
46410,38.75833333,-119.915,1992,Lightning,CA,,0.1,A
46411,38.62,-119.9616667,1992,Lightning,CA,,0.1,A
46412,38.65666667,-119.9,1992,Lightning,CA,,0.1,A
46413,38.76166667,-119.855,1992,Lightning,CA,,0.1,A
46414,38.66666667,-119.835,1992,Lightning,CA,,0.1,A
46415,38.70833333,-119.9583333,1992,Lightning,CA,,0.1,A
46416,38.515,-119.5816667,1992,Lightning,CA,,0.1,A
46417,38.485,-119.6233333,1992,Lightning,CA,,0.2,A
46418,38.48666667,-119.6216667,1992,Lightning,CA,,0.2,A
46419,38.55,-119.8,1992,Lightning,CA,,0.1,A
46420,38.68333333,-119.95,1992,Lightning,CA,,0.1,A
46421,38.68333333,-119.9,1992,Lightning,CA,,0.1,A
46422,38.65,-119.8666667,1992,Lightning,CA,,0.1,A
46423,38.65,-119.8833333,1992,Lightning,CA,,0.1,A
46424,38.69833333,-119.7083333,1992,Lightning,CA,,0.1,A
46425,38.72333333,-119.6266667,1992,Lightning,CA,,0.1,A
46426,38.71166667,-119.8166667,1992,Lightning,CA,,0.1,A
46427,38.48333333,-119.6016667,1992,Lightning,CA,,0.1,A
46428,39.71833333,-120.125,1992,Lightning,CA,,0.1,A
46429,38.755,-119.8766667,1992,Lightning,CA,,0.1,A
46430,38.68333333,-119.95,1992,Lightning,CA,,0.1,A
46431,39.44166667,-120.0216667,1992,Lightning,CA,,0.1,A
46432,34.55833333,-120.0883333,1992,Lightning,CA,,0.3,B
46434,38.525,-119.5716667,1992,Lightning,CA,,0.2,A
46435,38.585,-119.6316667,1992,Lightning,CA,,0.1,A
46436,38.69833333,-119.6633333,1992,Lightning,CA,,0.1,A
46437,38.67,-119.8316667,1992,Lightning,CA,,120,D
46438,38.61666667,-119.9,1992,Lightning,CA,,0.1,A
46439,39.48333333,-120.0383333,1992,Equipment Use,CA,,0.1,A
46440,38.655,-119.6383333,1992,Lightning,CA,,0.1,A
46441,38.59,-119.5983333,1992,Lightning,CA,,0.1,A
46442,39.67666667,-120.1266667,1992,Lightning,CA,,0.2,A
46443,38.53666667,-119.5783333,1992,Lightning,CA,,0.2,A
46444,38.545,-119.6,1992,Lightning,CA,,1,B
46445,39.54333333,-120.0316667,1992,Lightning,CA,,0.1,A
46447,38.50333333,-119.47,1992,Lightning,CA,,0.1,A
46448,38.34166667,-119.55,1992,Arson,CA,,0.1,A
46449,38.525,-119.475,1992,Debris Burning,CA,,0.1,A
46450,38.25,-119.3183333,1992,Lightning,CA,,0.1,A
46451,38.50166667,-119.335,1992,Lightning,CA,,0.1,A
46452,38.63833333,-119.405,1992,Lightning,CA,,0.1,A
46453,38.355,-119.3883333,1992,Lightning,CA,,0.1,A
46454,38.12166667,-119.2916667,1992,Lightning,CA,,0.1,A
46455,38.575,-119.3416667,1992,Lightning,CA,,0.1,A
46457,38.655,-119.5583333,1992,Lightning,CA,,0.1,A
46458,38.31666667,-119.5716667,1992,Lightning,CA,,0.1,A
46460,38.26333333,-119.3083333,1992,Children,CA,,0.3,B
46461,38.65833333,-119.3083333,1992,Campfire,CA,,0.1,A
46462,38.44833333,-119.4833333,1992,Campfire,CA,,0.1,A
46463,38.135,-119.3383333,1992,Lightning,CA,,0.1,A
46464,38.38833333,-119.4283333,1992,Lightning,CA,,0.1,A
46465,38.26833333,-119.2716667,1992,Lightning,CA,,0.1,A
46466,38.29833333,-119.3716667,1992,Lightning,CA,,0.1,A
46468,38.365,-119.4166667,1992,Smoking,CA,,0.3,B
46469,38.54166667,-119.525,1992,Lightning,CA,,0.3,B
46470,38.125,-119.265,1992,Lightning,CA,,0.1,A
46472,38.14166667,-119.35,1992,Lightning,CA,,0.1,A
46473,38.58333333,-119.4333333,1992,Lightning,CA,,0.1,A
46474,38.355,-119.4833333,1992,Lightning,CA,,0.1,A
46476,38.37166667,-119.3,1992,Lightning,CA,,0.1,A
46477,38.48,-119.3216667,1992,Arson,CA,,0.1,A
46478,38.31666667,-119.3383333,1992,Lightning,CA,,3,B
46479,38.3,-119.4966667,1992,Lightning,CA,,0.1,A
46480,38.58,-119.5333333,1992,Lightning,CA,,0.1,A
